threshold,n_samples,true_positive,false_positive,true_negative,false_negative,precision,recall,specificity,false_positive_rate,f1,accuracy,predicted_positive_rate,average_precision,roc_auc,brier_score,expected_calibration_error,simulated_cost,simulated_cost_per_10000
0.6,47030,98,0,26970,19962,1.0,0.004885343968095713,1.0,0.0,0.009723186824089692,0.5755475228577503,0.0020837763129917075,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499050.0,106113.11928556241
0.61,47030,98,0,26970,19962,1.0,0.004885343968095713,1.0,0.0,0.009723186824089692,0.5755475228577503,0.0020837763129917075,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499050.0,106113.11928556241
0.62,47030,98,0,26970,19962,1.0,0.004885343968095713,1.0,0.0,0.009723186824089692,0.5755475228577503,0.0020837763129917075,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499050.0,106113.11928556241
0.63,47030,98,0,26970,19962,1.0,0.004885343968095713,1.0,0.0,0.009723186824089692,0.5755475228577503,0.0020837763129917075,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499050.0,106113.11928556241
0.64,47030,89,0,26970,19971,1.0,0.004436689930209372,1.0,0.0,0.00883418531937069,0.5753561556453327,0.0018924091005741016,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499275.0,106160.96108866682
0.65,47030,89,0,26970,19971,1.0,0.004436689930209372,1.0,0.0,0.00883418531937069,0.5753561556453327,0.0018924091005741016,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499275.0,106160.96108866682
0.66,47030,89,0,26970,19971,1.0,0.004436689930209372,1.0,0.0,0.00883418531937069,0.5753561556453327,0.0018924091005741016,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499275.0,106160.96108866682
0.67,47030,68,0,26970,19992,1.0,0.003389830508474576,1.0,0.0,0.006756756756756757,0.5749096321496917,0.0014458856049330215,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499800.0,106272.59196257708
0.68,47030,68,0,26970,19992,1.0,0.003389830508474576,1.0,0.0,0.006756756756756757,0.5749096321496917,0.0014458856049330215,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499800.0,106272.59196257708
0.6900000000000001,47030,68,0,26970,19992,1.0,0.003389830508474576,1.0,0.0,0.006756756756756757,0.5749096321496917,0.0014458856049330215,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499800.0,106272.59196257708
0.7000000000000001,47030,68,0,26970,19992,1.0,0.003389830508474576,1.0,0.0,0.006756756756756757,0.5749096321496917,0.0014458856049330215,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499800.0,106272.59196257708
0.71,47030,68,0,26970,19992,1.0,0.003389830508474576,1.0,0.0,0.006756756756756757,0.5749096321496917,0.0014458856049330215,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,499800.0,106272.59196257708
0.72,47030,35,0,26970,20025,1.0,0.001744765702891326,1.0,0.0,0.0034834535954217467,0.5742079523708271,0.000744205826068467,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500625.0,106448.01190729321
0.73,47030,35,0,26970,20025,1.0,0.001744765702891326,1.0,0.0,0.0034834535954217467,0.5742079523708271,0.000744205826068467,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500625.0,106448.01190729321
0.74,47030,35,0,26970,20025,1.0,0.001744765702891326,1.0,0.0,0.0034834535954217467,0.5742079523708271,0.000744205826068467,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500625.0,106448.01190729321
0.75,47030,35,0,26970,20025,1.0,0.001744765702891326,1.0,0.0,0.0034834535954217467,0.5742079523708271,0.000744205826068467,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500625.0,106448.01190729321
0.76,47030,35,0,26970,20025,1.0,0.001744765702891326,1.0,0.0,0.0034834535954217467,0.5742079523708271,0.000744205826068467,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500625.0,106448.01190729321
0.77,47030,33,0,26970,20027,1.0,0.0016450648055832502,1.0,0.0,0.0032847260239884535,0.5741654263236232,0.0007016797788645545,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500675.0,106458.6434190942
0.78,47030,33,0,26970,20027,1.0,0.0016450648055832502,1.0,0.0,0.0032847260239884535,0.5741654263236232,0.0007016797788645545,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500675.0,106458.6434190942
0.79,47030,33,0,26970,20027,1.0,0.0016450648055832502,1.0,0.0,0.0032847260239884535,0.5741654263236232,0.0007016797788645545,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,500675.0,106458.6434190942
0.8,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.81,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.8200000000000001,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.8300000000000001,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.84,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.85,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.86,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.87,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.88,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.89,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.9,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.91,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.92,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.93,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.9400000000000001,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.9500000000000001,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.96,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.97,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.98,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
0.99,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
1.0,47030,0,0,26970,20060,0.0,0.0,1.0,0.0,0.0,0.5734637465447586,0.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,501500.0,106634.06336381033
